City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ugoofaaru,MV,2021-07-11 21:35:34,5.6667,73.0,81.79,80,100,16.62
68,Punta Arenas,CL,2021-07-11 21:34:07,-53.15,-70.9167,35.71,80,20,36.82
69,Salinopolis,BR,2021-07-11 21:38:58,-0.6136,-47.3561,80.19,79,92,12.03
70,Saint Thomas Mount,IN,2021-07-11 21:38:58,12.9964,80.2031,82.38,89,75,5.75
71,Sur,OM,2021-07-11 21:37:24,22.5667,59.5289,89.08,61,59,4.7
72,Sao Gabriel Da Cachoeira,BR,2021-07-11 21:38:58,-0.1303,-67.0892,78.6,89,0,1.14
73,Motihari,IN,2021-07-11 21:38:59,26.65,84.9167,80.78,81,100,10.04
74,Pankovka,RU,2021-07-11 21:38:59,58.5,31.1999,72.0,69,39,3.85
75,Olinda,BR,2021-07-11 21:39:00,-8.0089,-34.8553,74.93,78,75,9.22
76,Souillac,MU,2021-07-11 21:34:30,-20.5167,57.5167,71.37,78,75,12.66
77,Richards Bay,ZA,2021-07-11 21:30:46,-28.783,32.0377,66.11,70,0,13.67
78,Latehar,IN,2021-07-11 21:39:01,23.75,84.5,76.91,91,51,4.29
79,Melbu,NO,2021-07-11 21:39:01,68.5044,14.8297,62.22,97,100,7.27
80,Bredasdorp,ZA,2021-07-11 21:33:15,-34.5322,20.0403,43.92,81,42,6.91
81,Cape Town,ZA,2021-07-11 21:31:25,-33.9258,18.4232,54.12,83,75,12.66
82,Rawson,AR,2021-07-11 21:30:49,-43.3002,-65.1023,51.58,49,100,8.7
83,Arraial Do Cabo,BR,2021-07-11 21:33:09,-22.9661,-42.0278,69.66,83,0,5.75
84,Sayat,TM,2021-07-11 21:39:03,38.7839,63.8803,76.87,24,31,8.43
85,Mahebourg,MU,2021-07-11 21:35:23,-20.4081,57.7,71.26,78,75,12.66
86,Port Alfred,ZA,2021-07-11 21:33:05,-33.5906,26.891,64.06,30,0,8.37
87,Nalut,LY,2021-07-11 21:34:48,30.3333,10.85,81.9,26,0,14.61
88,Novyy Urengoy,RU,2021-07-11 21:39:04,66.0833,76.6333,47.62,74,88,14.43
89,Obo,CF,2021-07-11 21:39:04,5.3998,26.4869,66.96,98,100,3.65
90,Horta,PT,2021-07-11 21:39:05,38.5333,-28.6333,66.76,72,100,15.66
91,Lagoa,PT,2021-07-11 21:33:08,39.05,-27.9833,66.22,71,100,15.32
92,Aquiraz,BR,2021-07-11 21:39:05,-3.9014,-38.3911,80.69,82,76,8.52
93,Cururupu,BR,2021-07-11 21:35:58,-1.8283,-44.8683,74.44,96,74,3.02
94,Saldanha,ZA,2021-07-11 21:35:31,-33.0117,17.9442,46.45,89,3,10.67
95,Asheboro,US,2021-07-11 21:34:31,35.7079,-79.8136,93.2,58,40,1.01
96,Sechura,PE,2021-07-11 21:39:06,-5.5569,-80.8222,73.4,66,54,14.79
97,Cheremisinovo,RU,2021-07-11 21:39:06,51.8855,37.2646,69.91,85,4,7.65
98,Kismayo,SO,2021-07-11 21:39:07,-0.3582,42.5454,76.15,81,34,18.41
99,Torbay,CA,2021-07-11 21:33:00,47.6666,-52.7314,62.49,94,90,2.3
100,Ponta Do Sol,PT,2021-07-11 21:33:13,32.6667,-17.1,74.03,70,2,5.93
101,Saint-Pierre,RE,2021-07-11 21:39:07,-21.3393,55.4781,67.64,79,0,6.91
102,Aksu,CN,2021-07-11 21:36:56,41.1231,80.2644,77.04,37,90,7.58
103,Owando,CG,2021-07-11 21:39:08,-0.4819,15.8999,74.25,73,41,3.27
104,Codrington,AU,2021-07-11 21:33:02,-38.2667,141.9667,48.7,58,55,19.48
105,Grand Gaube,MU,2021-07-11 21:36:44,-20.0064,57.6608,71.38,72,30,5.01
106,Santa Rosa,PH,2021-07-11 21:39:09,14.3122,121.1114,82.38,82,52,5.84
107,Venda Do Pinheiro,PT,2021-07-11 21:39:09,38.9236,-9.2318,64.69,70,75,13.8
108,Sao Filipe,CV,2021-07-11 21:32:24,14.8961,-24.4956,72.55,75,65,7.02
109,Kulhudhuffushi,MV,2021-07-11 21:31:12,6.6221,73.07,81.55,81,100,18.43
110,Matara,LK,2021-07-11 21:37:56,5.9485,80.5353,78.31,87,100,16.02
111,Malanje,AO,2021-07-11 21:35:28,-9.5402,16.341,63.39,26,0,3.51
112,Dharmapuri,IN,2021-07-11 21:39:10,12.1333,78.1667,74.91,76,100,7.58
113,Pahalgam,IN,2021-07-11 21:39:10,34.0333,75.3333,62.8,93,88,0.27
114,Bertinoro,IT,2021-07-11 21:39:11,44.1469,12.1389,77.58,65,0,1.01
115,Severnyy,RU,2021-07-11 21:39:11,50.677,36.5532,73.44,78,71,8.95
116,Vangaindrano,MG,2021-07-11 21:39:11,-23.35,47.6,67.24,85,44,1.59
117,Gigante,CO,2021-07-11 21:39:12,2.3868,-75.5453,76.46,78,38,4.85
118,Saint-Raymond,CA,2021-07-11 21:39:12,45.467,-73.6095,82.06,46,90,3.44
119,Ambilobe,MG,2021-07-11 21:36:58,-13.2,49.05,67.86,75,0,4.03
120,Saint-Augustin,CA,2021-07-11 21:35:18,51.226,-58.6502,58.28,89,100,3.24
121,Saint Anthony,US,2021-07-11 21:34:42,45.0205,-93.218,88.79,38,1,4.0
122,Izhma,RU,2021-07-11 21:39:13,65.0083,53.9113,43.52,76,39,5.95
123,Virginia Beach,US,2021-07-11 21:27:31,36.8529,-75.978,88.02,78,75,5.75
124,Malangwa,NP,2021-07-11 21:39:14,26.8568,85.5581,79.95,83,98,5.21
125,Longyearbyen,SJ,2021-07-11 21:32:02,78.2186,15.6401,40.84,81,40,13.8
126,Cayenne,GF,2021-07-11 21:34:18,4.9333,-52.3333,78.1,90,91,0.0
127,Clyde River,CA,2021-07-11 21:35:11,70.4692,-68.5914,50.23,66,75,11.5
128,Chuy,UY,2021-07-11 21:35:00,-33.6971,-53.4616,48.33,70,0,5.68
129,Port Blair,IN,2021-07-11 21:30:04,11.6667,92.75,81.37,83,100,14.2
130,Geraldton,AU,2021-07-11 21:31:27,-28.7667,114.6,59.41,88,75,14.97
131,Kavaratti,IN,2021-07-11 21:35:32,10.5669,72.642,81.86,79,100,24.63
132,Batouri,CM,2021-07-11 21:39:15,4.4333,14.3667,67.3,99,16,2.95
133,Caravelas,BR,2021-07-11 21:37:14,-17.7125,-39.2481,69.55,83,0,6.13
134,Riyadh,SA,2021-07-11 21:38:55,24.6877,46.7219,95.14,13,1,5.79
135,Yar-Sale,RU,2021-07-11 21:32:54,66.8333,70.8333,42.67,65,72,7.58
136,Carutapera,BR,2021-07-11 21:34:56,-1.195,-46.02,76.69,91,95,7.47
137,Husavik,IS,2021-07-11 21:35:34,66.0449,-17.3389,55.31,85,45,1.9
138,Narsaq,GL,2021-07-11 21:33:11,60.9167,-46.05,48.42,99,100,5.66
139,Salalah,OM,2021-07-11 21:35:30,17.0151,54.0924,80.69,89,90,6.91
140,Camana,PE,2021-07-11 21:39:17,-16.6228,-72.7111,62.76,76,37,4.99
141,Tasiilaq,GL,2021-07-11 21:32:19,65.6145,-37.6368,46.56,99,100,9.46
142,Smyrna,US,2021-07-11 21:34:48,33.884,-84.5144,86.09,75,75,1.01
143,Yuzhno-Sukhokumsk,RU,2021-07-11 21:39:19,44.6581,45.6436,77.97,36,1,5.64
144,Bambous Virieux,MU,2021-07-11 21:34:23,-20.3428,57.7575,71.22,78,75,12.66
145,Duvan,RU,2021-07-11 21:39:20,55.695,57.9024,51.53,85,40,2.39
146,Najran,SA,2021-07-11 21:34:54,17.4924,44.1277,86.65,19,88,3.22
147,Adrar,MR,2021-07-11 21:36:56,20.5022,-10.0711,91.18,31,10,5.06
148,Serro,BR,2021-07-11 21:39:20,-18.6047,-43.3794,59.14,57,2,2.39
149,Santhia,IT,2021-07-11 21:39:21,45.3663,8.1726,75.24,65,0,2.13
150,Thinadhoo,MV,2021-07-11 21:39:21,0.5333,72.9333,81.39,72,80,5.37
151,Ciudad Real,ES,2021-07-11 21:39:21,39.0,-4.0,90.91,29,38,1.01
152,Sao Felix Do Xingu,BR,2021-07-11 21:39:22,-6.6447,-51.995,83.95,40,99,1.57
153,Mayaky,UA,2021-07-11 21:39:22,47.4408,29.5599,70.65,68,64,5.12
154,Iralaya,HN,2021-07-11 21:35:40,15.0,-83.2333,75.29,84,100,16.13
155,Archidona,ES,2021-07-11 21:39:23,37.0965,-4.3887,89.58,29,59,1.54
156,Piacabucu,BR,2021-07-11 21:39:23,-10.4056,-36.4344,73.56,85,8,6.51
157,Mazyr,BY,2021-07-11 21:39:23,52.0495,29.2456,70.45,66,59,3.76
158,Korla,CN,2021-07-11 21:33:05,41.7597,86.1469,76.44,38,99,13.33
159,Cidreira,BR,2021-07-11 21:34:32,-30.1811,-50.2056,60.3,90,0,6.08
160,Upata,VE,2021-07-11 21:35:51,8.0086,-62.3989,80.19,75,72,5.06
161,Iqaluit,CA,2021-07-11 21:34:49,63.7506,-68.5145,60.53,48,75,6.91
162,Kharp,RU,2021-07-11 21:39:24,66.8014,65.8081,40.17,73,97,7.25
163,Salaya,IN,2021-07-11 21:39:25,22.3167,69.6,83.7,79,100,16.6
164,Colesberg,ZA,2021-07-11 21:39:25,-30.72,25.0972,48.31,34,23,7.09
165,Ribeira Grande,PT,2021-07-11 21:31:31,38.5167,-28.7,67.71,71,100,17.22
166,Qaanaaq,GL,2021-07-11 21:32:22,77.484,-69.3632,38.95,66,49,2.66
167,Puerto Carreno,CO,2021-07-11 21:39:26,6.189,-67.4859,84.15,73,100,2.93
168,Nguruka,TZ,2021-07-11 21:39:26,-5.1092,31.0419,62.2,47,30,3.71
169,Pontes E Lacerda,BR,2021-07-11 21:39:27,-15.2261,-59.3353,78.28,34,87,4.36
170,Luanda,AO,2021-07-11 21:33:18,-8.8368,13.2343,69.51,91,0,8.21
171,Sao Joao Do Piaui,BR,2021-07-11 21:30:37,-8.3581,-42.2467,82.89,40,47,7.4
