City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
268,Salinopolis,BR,78.58,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
272,Bardiyah,LY,78.39,clear sky,31.7561,25.0865,بورتو بردية
274,The Valley,AI,84.06,haze,18.217,-63.0578,CeBlue Villas & Beach Resort
276,Itarema,BR,79.07,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
281,Alta Floresta,BR,76.6,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
285,Veraval,IN,82.54,overcast clouds,20.9,70.3667,Lords Inn Somnath
286,Bubaque,GW,81.21,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
290,San Miguel,SV,94.6,few clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
299,Altoona,US,81.61,overcast clouds,40.5187,-78.3947,Wingate by Wyndham Altoona Downtown/Medical Center
301,Dunmore Town,BS,82.6,clear sky,25.5,-76.65,Coral Sands Hotel
302,Botwood,CA,76.48,overcast clouds,49.1499,-55.3482,Exploits Hostel
307,Evans,US,82.78,light rain,33.5337,-82.1307,Donald J Kosatka
311,Oriximina,BR,78.8,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
317,Isla Mujeres,MX,86.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
321,Khairagarh,IN,81.95,overcast clouds,26.95,77.8167,Aqua kalandri R.O.
322,Torbat-E Jam,IR,75.22,clear sky,35.244,60.6225,White building
323,Tamara,HN,76.75,light rain,14.15,-87.3333,Villa Las Acacias
325,Sao Joao Do Piaui,BR,80.1,clear sky,-8.3581,-42.2467,Nayra Palace Hotel
326,Jahanabad,IN,82.96,overcast clouds,25.2167,84.9833,TENI BIGHA
332,Mangrol,IN,82.63,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
333,Sanchor,IN,83.91,overcast clouds,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
335,Shiloh,US,82.87,clear sky,38.5614,-89.8973,Hilton Garden Inn St. Louis Shiloh/O’Fallon IL
336,Santo Tomas,PH,80.55,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
337,Aquiraz,BR,80.69,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
338,Labrea,BR,77.59,few clouds,-7.2586,-64.7981,Hotel Novo Horizonte
341,Bani,DO,83.86,few clouds,18.2833,-70.3333,Hospedaje Henriquez
343,Tahta,EG,87.91,clear sky,26.7693,31.5021,El Salam Hotel
344,Poquoson,US,78.85,scattered clouds,37.1224,-76.3458,Whitehouse Cove
347,Dasoguz,TM,76.95,clear sky,41.8363,59.9666,Ташауз Отел
348,Conakry,GN,78.87,light rain,9.538,-13.6773,Riviera Royal Hotel
349,Carlisle,US,80.64,broken clouds,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
352,Kolda,SN,82.71,broken clouds,12.8833,-14.95,Hôtel Hobbe Chasse
356,Moussoro,TD,84.72,broken clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
366,Mana,GF,78.66,heavy intensity rain,5.6592,-53.7767,LE SAMANA
367,Doha,QA,91.71,clear sky,25.2867,51.5333,Movenpick Hotel Doha
369,Nouadhibou,MR,82.38,dust,20.931,-17.0347,El Medina
372,Dingle,PH,79.36,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
373,Akcakoca,TR,75.94,clear sky,41.0866,31.1162,Turkuaz Beach Otel
