City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
78,Aswan,EG,24.0934,32.907,96.1,29,0,0.0,clear sky
79,Iquique,CL,-20.2208,-70.1431,59.04,73,82,4.76,broken clouds
80,Kasakh,AM,40.537,44.4105,72.66,58,5,4.88,clear sky
81,Ecoporanga,BR,-18.3733,-40.8306,68.67,90,3,9.6,clear sky
82,Roald,NO,62.5833,6.1333,57.33,82,90,17.27,overcast clouds
83,Progreso,MX,21.2833,-89.6667,89.11,78,46,14.18,scattered clouds
84,Coquimbo,CL,-29.9533,-71.3436,51.53,87,0,6.91,clear sky
85,Kita,ML,13.0349,-9.4895,73.74,92,90,4.29,overcast clouds
86,Les Escoumins,CA,48.1111,-69.0236,72.16,81,97,5.06,overcast clouds
87,Punta Alta,AR,-38.8759,-62.0736,52.68,37,100,16.44,overcast clouds
88,Narsaq,GL,60.9167,-46.05,50.22,95,98,2.39,overcast clouds
89,Iralaya,HN,15.0,-83.2333,78.89,86,100,11.59,overcast clouds
90,Tshikapa,CD,-6.4167,20.8,69.87,33,72,2.46,broken clouds
91,Paamiut,GL,61.994,-49.6678,43.59,80,27,3.2,scattered clouds
92,Ancud,CL,-41.8697,-73.8203,51.33,99,100,5.82,light rain
93,Fakse,DK,55.2469,12.1176,62.78,92,4,8.52,clear sky
94,Port-Gentil,GA,-0.7193,8.7815,75.16,83,20,5.75,few clouds
95,Road Town,VG,18.4167,-64.6167,84.29,78,20,10.36,few clouds
96,Saint-Pierre,RE,-21.3393,55.4781,69.48,74,0,23.02,clear sky
97,Busselton,AU,-33.65,115.3333,54.05,83,96,14.76,overcast clouds
98,Wajir,KE,1.7471,40.0573,75.06,62,94,17.05,overcast clouds
99,Mehamn,NO,71.0357,27.8492,43.5,74,59,24.27,broken clouds
100,Grao Mogol,BR,-16.5594,-42.8897,69.64,40,28,1.77,scattered clouds
101,Ambilobe,MG,-13.2,49.05,66.51,83,10,4.72,clear sky
102,Tokmak,UA,47.2514,35.7058,76.71,59,0,7.54,clear sky
103,Vieques,PR,18.425,-65.8329,84.22,70,40,9.22,haze
104,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.72,39,1,0.76,clear sky
105,Villazon,BO,-22.0866,-65.5942,46.31,32,42,3.56,scattered clouds
106,Bosansko Grahovo,BA,44.1794,16.3639,61.65,94,75,5.86,broken clouds
107,Arraial Do Cabo,BR,-22.9661,-42.0278,66.69,55,22,23.67,few clouds
108,Saint-Ambroise,CA,48.5501,-71.3324,73.94,56,14,11.5,few clouds
109,Tasiilaq,GL,65.6145,-37.6368,46.56,93,100,8.93,light rain
110,Kaniama,CD,-7.5667,24.1833,65.66,39,12,4.81,few clouds
111,Faya,SA,18.3851,42.4509,62.71,67,99,4.63,overcast clouds
112,Walvis Bay,NA,-22.9575,14.5053,59.09,67,0,9.51,clear sky
113,Spassk,RU,52.747,87.7545,57.85,97,86,1.7,overcast clouds
114,Qaanaaq,GL,77.484,-69.3632,38.35,83,95,1.57,overcast clouds
115,Botshabelo,ZA,-29.2702,26.7052,25.97,40,0,3.78,clear sky
116,Rocha,UY,-34.4833,-54.3333,40.62,94,19,5.12,few clouds
117,Olafsvik,IS,64.8945,-23.7142,52.9,96,100,10.76,overcast clouds
118,Jumla,NP,29.2747,82.1838,62.38,97,100,3.27,overcast clouds
119,Castro,BR,-24.7911,-50.0119,39.85,69,16,2.66,few clouds
120,Zbarazh,UA,49.6636,25.7762,62.26,90,100,6.29,overcast clouds
121,Sao Filipe,CV,14.8961,-24.4956,74.8,84,31,8.5,scattered clouds
122,Lowestoft,GB,52.4752,1.7516,63.16,88,85,7.76,overcast clouds
123,Vargashi,RU,55.3556,65.8467,56.97,93,17,4.0,few clouds
124,Eyl,SO,7.9803,49.8164,78.06,71,96,23.29,overcast clouds
125,Shelburne,CA,44.0787,-80.2041,78.69,51,4,7.18,clear sky
126,Saldanha,ZA,-33.0117,17.9442,51.85,71,100,17.0,overcast clouds
127,Marzuq,YE,14.4,46.4667,79.12,58,91,6.24,overcast clouds
128,Gwadar,PK,25.1216,62.3254,83.97,87,66,16.53,broken clouds
129,Boende,CD,-0.2167,20.8667,72.93,71,55,1.92,broken clouds
130,Haukipudas,FI,65.1765,25.3523,59.05,78,87,18.41,light rain
131,Santa Fe,AR,-31.6333,-60.7,51.03,65,0,1.01,clear sky
132,Souillac,MU,-20.5167,57.5167,71.98,64,40,14.97,scattered clouds
133,Ouesso,CG,1.6136,16.0517,71.74,86,70,1.68,broken clouds
134,Ifanadiana,MG,-21.3,47.6333,61.61,99,99,0.6,light rain
135,Vizinga,RU,61.0749,50.1031,59.2,99,63,4.61,broken clouds
136,Bondo,CD,3.8146,23.6866,67.66,95,97,0.89,overcast clouds
137,Norilsk,RU,69.3535,88.2027,53.33,61,93,5.68,overcast clouds
138,Llanes,ES,43.4198,-4.7549,67.86,72,0,2.73,clear sky
139,Lagoa,PT,39.05,-27.9833,69.22,85,93,26.44,overcast clouds
140,Sault Sainte Marie,CA,46.5168,-84.3333,79.09,57,1,9.22,clear sky
141,Nantucket,US,41.2835,-70.0995,73.51,76,90,8.05,overcast clouds
142,Kaffrine,SN,14.1059,-15.5508,82.29,78,87,14.29,overcast clouds
143,Pisco,PE,-13.7,-76.2167,64.45,77,90,11.5,overcast clouds
144,Rio Gallegos,AR,-51.6226,-69.2181,44.65,57,75,14.97,broken clouds
145,Kisangani,CD,0.5167,25.2,71.26,77,100,1.59,overcast clouds
146,Tete,MZ,-16.1564,33.5867,62.69,63,0,0.0,clear sky
147,Serenje,ZM,-13.2325,30.2352,48.43,72,54,5.28,broken clouds
148,Polyarnyy,RU,69.1989,33.4478,48.67,85,100,11.25,overcast clouds
149,Kosa,RU,59.9445,54.9977,60.12,83,82,5.3,broken clouds
150,Peniche,PT,39.3558,-9.3811,66.29,86,99,14.2,overcast clouds
151,Buchanan,LR,5.8808,-10.0467,76.96,85,94,12.59,overcast clouds
152,Sepolno Krajenskie,PL,53.452,17.5317,63.0,92,73,7.25,broken clouds
153,Porto Novo,BJ,6.4965,2.6036,78.62,85,61,9.71,broken clouds
154,Kruisfontein,ZA,-34.0033,24.7314,49.89,86,100,6.51,overcast clouds
155,Touros,BR,-5.1989,-35.4608,74.3,81,36,13.56,scattered clouds
156,Isoka,ZM,-10.1606,32.6335,50.58,84,0,0.98,clear sky
157,Wana,PK,32.2989,69.5725,72.86,87,85,5.61,overcast clouds
158,Kalmunai,LK,7.4167,81.8167,79.47,75,100,4.27,overcast clouds
159,Zomin,UZ,39.9606,68.3958,76.32,28,64,5.59,broken clouds
160,Shetpe,KZ,44.1667,52.1167,79.99,38,0,4.72,clear sky
161,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,78,40,11.7,scattered clouds
162,Elizabeth City,US,36.2946,-76.2511,76.01,95,90,8.05,light rain
163,Clyde River,CA,70.4692,-68.5914,37.63,87,90,3.44,light rain
164,Mananjary,MG,-21.2167,48.3333,69.1,85,84,5.48,light rain
165,Kamenka,RU,51.3223,42.7678,71.35,71,74,3.91,broken clouds
166,Talnakh,RU,69.4865,88.3972,54.52,60,74,6.46,broken clouds
167,Uruzgan,AF,32.8333,66.0,74.19,21,0,6.96,clear sky
168,Altay,CN,47.8667,88.1167,69.12,37,9,5.59,clear sky
169,Pucallpa,PE,-8.3791,-74.5539,73.44,68,40,8.05,scattered clouds
170,Kidal,ML,18.4411,1.4078,96.8,23,100,10.0,overcast clouds
171,Cozumel,MX,20.5083,-86.9458,86.11,83,90,4.0,overcast clouds
172,Havelock,US,34.8791,-76.9013,79.93,93,90,3.0,heavy intensity rain
173,La Asuncion,VE,11.0333,-63.8628,83.93,74,98,12.66,overcast clouds
174,Tigre,AR,-34.426,-58.5796,51.28,76,0,2.3,clear sky
175,Goderich,CA,43.7501,-81.7165,79.21,83,19,3.44,few clouds
176,Cuamba,MZ,-14.8031,36.5372,65.53,59,99,1.92,overcast clouds
177,Goundam,ML,16.4145,-3.6708,92.37,42,98,16.73,overcast clouds
178,Opuwo,NA,-18.0607,13.84,57.6,37,1,4.5,clear sky
179,Hearst,CA,49.6835,-83.6665,52.05,90,100,9.57,overcast clouds
180,Kermanshah,IR,34.3142,47.065,79.7,21,20,0.0,few clouds
181,Oum Hadjer,TD,13.2954,19.6966,80.51,63,94,3.47,overcast clouds
182,Soyo,AO,-6.1349,12.3689,70.9,88,23,6.04,few clouds
183,Klaksvik,FO,62.2266,-6.589,50.92,93,79,7.65,broken clouds
184,Jalu,LY,29.0331,21.5482,80.42,48,0,8.46,clear sky
185,Chabahar,IR,25.2919,60.643,86.65,84,62,6.46,broken clouds
186,Atar,MR,20.5169,-13.0499,94.03,24,23,5.97,few clouds
187,San Cristobal,VE,7.7669,-72.225,64.99,98,82,3.69,broken clouds
188,Mwense,ZM,-10.3845,28.698,56.37,50,5,4.25,clear sky
189,Carbonia,IT,39.1672,8.5222,75.99,72,0,1.1,clear sky
190,Lucea,JM,18.451,-78.1736,87.85,79,43,13.58,scattered clouds
